transaction_id,created_at_UTC,user_phone,amount_paid_cents,zip_code,spot_id,amount_paid_dollar
57,2022-07-09 20:40:19,(566) 874-2017,8389,792314,7,83.89
58,2022-10-07 20:49:49,1-950-745-7731,1918,10913,7,19.18
59,2022-08-14 14:41:11,(781) 789-1363,2915,1752,15,29.15
60,2021-01-26 7:17:06,1-217-189-8927,2562,866412,8,25.62
61,2021-10-08 16:49:55,(523) 477-8550,6148,7743,5,61.48
62,2022-09-27 8:17:12,1-566-691-8175,8023,7528,13,80.23
63,2022-08-10 7:31:16,1-732-554-1398,8376,74588,11,83.76
64,2021-09-30 8:32:23,(265) 369-1211,316,86127,5,3.16
65,2022-01-02 22:59:27,1-722-594-5760,4977,41788,11,49.77
66,2022-10-12 19:10:20,1-532-795-1663,8624,13411,5,86.24
67,2021-06-06 16:21:34,1-796-488-9782,6560,5347,12,65.6
68,2021-11-23 14:04:34,1-821-148-2456,5532,364776,7,55.32
69,2021-10-14 6:22:40,(663) 714-6037,1971,16781-57414,4,19.71
70,2022-04-29 14:50:53,1-535-818-4134,2120,51252,12,21.2
71,2021-09-29 15:23:21,1-516-556-0291,2729,15885-21454,15,27.29
72,2022-07-13 7:16:41,(850) 238-3488,3719,83X 6P6,8,37.19
73,2021-02-10 4:58:14,1-541-614-7188,3194,62312,9,31.94
74,2022-10-30 13:57:15,(248) 538-5439,2269,32899,5,22.69
75,2021-06-07 8:27:17,(783) 315-8616,8044,T6P 6J2,2,80.44
76,2022-10-04 12:34:59,(818) 286-2063,3244,181586,5,32.44
77,2021-01-07 8:26:39,(686) 333-7722,9518,227361,6,95.18
78,2022-05-15 14:11:33,(164) 497-2564,1843,HC5 1GY,2,18.43
79,2022-02-26 23:20:02,(289) 367-2345,9309,27683,15,93.09
80,2021-11-16 0:50:13,1-472-278-7952,9337,32727417,12,93.37
81,2021-05-06 3:27:49,(438) 731-6572,7886,348356,9,78.86
82,2022-03-03 19:14:24,(113) 397-3815,1506,8244,3,15.06
83,2021-01-14 16:27:08,(857) 867-2214,6505,14692,1,65.05
84,2021-08-19 4:14:57,1-544-998-6875,3305,40601,3,33.05
85,2021-03-14 13:59:18,1-302-677-4987,6308,70551,7,63.08
86,2022-03-26 16:11:42,1-858-885-9451,3135,57511,13,31.35
87,2022-09-07 10:19:06,(262) 371-8347,3418,251536,1,34.18
88,2022-01-10 22:48:00,(728) 684-2068,3766,491817,12,37.66
89,2022-01-07 2:37:42,(458) 554-9231,5379,42004,2,53.79
90,2021-08-23 0:18:26,(301) 307-6782,5839,5837,3,58.39
91,2022-09-03 19:47:36,(881) 548-5835,385,222392,11,3.85
92,2020-11-27 10:20:18,(692) 601-5378,9014,53605,14,90.14
93,2021-01-31 19:34:53,1-617-700-5132,5628,13889,1,56.28
94,2021-09-07 1:28:47,1-592-194-8757,2189,EG7I 8UF,11,21.89
95,2021-05-04 20:38:58,(652) 526-8661,9461,326675,4,94.61
96,2021-11-02 20:33:09,1-757-382-5654,5864,5112,10,58.64
97,2022-10-14 21:35:50,1-456-116-7178,318,72808,2,3.18
98,2021-07-20 5:56:15,(518) 688-6772,9846,IC8J 4PN,7,98.46
99,2021-01-14 5:57:05,1-354-593-8062,6097,YU03 6YC,2,60.97
100,2020-11-28 13:18:49,(388) 472-5458,9255,99266,11,92.55
101,2021-12-13 3:22:09,(414) 121-4364,7551,132076,2,75.51
102,2022-03-23 16:44:32,(881) 227-6461,8268,21840,8,82.68
103,2022-06-30 6:20:25,(699) 790-6246,6436,1631,5,64.36
104,2021-06-25 11:09:20,1-695-557-8415,267,77-451,11,2.67
105,2021-12-24 16:25:50,1-997-627-8515,7669,84028-261,15,76.69
106,2022-06-24 0:04:49,1-157-554-6117,891,6786,12,8.91
107,2021-01-04 18:20:41,(848) 854-1633,6546,1881,13,65.46
108,2022-05-09 18:52:49,1-870-564-3418,1935,33515,14,19.35
109,2022-11-14 21:16:26,1-363-222-1057,6145,81433,9,61.45
110,2021-10-19 16:15:34,(209) 467-4723,4233,91346,10,42.33
111,2021-01-01 9:39:46,1-912-687-7225,8402,5365,7,84.02
112,2021-05-08 9:38:05,1-961-606-3341,3479,884853,3,34.79
113,2021-06-26 1:58:12,(432) 436-8730,9951,41130,13,99.51
114,2021-05-22 10:42:26,(560) 673-2846,6811,B2E 4T1,4,68.11
115,2022-08-27 1:29:03,1-919-368-0876,5485,99744,4,54.85
116,2022-06-22 11:31:38,(660) 405-4373,9225,40779,8,92.25
117,2021-08-07 11:13:56,(976) 742-0130,7212,296662,13,72.12
118,2021-05-31 9:54:22,1-642-678-8184,1289,686347,14,12.89
119,2022-10-11 9:41:32,(268) 573-7329,8591,91482-76280,15,85.91
120,2021-06-26 21:24:49,(614) 171-9050,5549,2358,8,55.49
121,2021-08-08 4:19:41,1-652-740-1061,7323,4466,7,73.23
122,2022-02-04 8:32:41,1-747-770-3116,5089,6957,5,50.89
123,2022-08-06 2:39:16,(351) 812-8085,9138,4111,11,91.38
124,2021-04-26 17:53:05,1-752-227-6242,736,862242,4,7.36
125,2022-06-05 23:52:43,1-192-379-4762,3077,28-556,13,30.77
126,2022-08-07 15:47:50,(386) 656-9007,8869,41321,7,88.69
127,2022-10-23 23:39:53,(627) 260-7123,9553,31859,3,95.53
128,2020-11-17 20:28:05,(960) 536-7104,7180,736310,4,71.8
129,2021-01-09 14:51:04,(361) 564-5674,1787,844717,14,17.87
130,2021-11-08 22:09:52,(895) 416-2328,764,5195,10,7.64
131,2020-11-30 22:01:12,(636) 667-6407,1900,48843,7,19
132,2022-08-07 16:04:11,1-119-471-9319,4841,2241 VN,6,48.41
133,2021-05-08 17:30:35,1-577-477-6049,3013,984970,9,30.13
134,2020-12-19 10:05:08,(522) 782-2205,7493,73782,8,74.93
135,2020-12-13 5:25:03,(128) 178-4885,7803,4636,3,78.03
136,2022-08-17 12:08:35,1-165-751-6331,2062,847336,8,20.62
137,2022-01-14 0:21:28,1-135-965-6167,4172,15104,2,41.72
138,2021-10-25 15:30:37,(533) 757-4623,654,36172,14,6.54
139,2021-05-13 22:32:56,(558) 221-1757,4078,378415,12,40.78
140,2022-09-06 8:18:44,(483) 468-2578,9930,0629 TC,8,99.3
141,2021-01-02 12:44:58,1-236-718-3562,8650,22572,1,86.5
142,2021-10-26 20:52:35,(231) 286-7152,2461,35615,3,24.61
143,2022-01-24 18:52:07,(551) 753-7056,7995,40041,3,79.95
144,2022-09-20 4:30:48,(604) 225-5185,3577,Y5V 4K5,5,35.77
145,2022-02-17 11:36:17,(143) 176-4828,6422,94548,14,64.22
146,2021-07-10 17:31:42,1-727-218-1646,5276,689772,10,52.76
147,2021-02-28 22:55:54,(285) 285-2268,1674,67-869,15,16.74
148,2022-09-29 19:22:11,(799) 229-7222,6224,1805,13,62.24
149,2021-05-22 11:49:08,1-736-203-7148,2777,636241,3,27.77
150,2021-01-09 12:18:26,1-486-658-1435,4336,8895 OV,9,43.36
151,2022-09-22 2:16:44,(948) 101-8328,7149,74554,7,71.49
152,2022-04-19 3:20:58,(503) 234-1247,609,79364,14,6.09
153,2022-06-26 12:18:54,(769) 513-5559,2361,55760,5,23.61
154,2021-10-31 15:45:06,1-393-615-3157,1760,63654-591,5,17.6
155,2021-11-18 5:40:58,1-132-327-6736,9530,68496,8,95.3
156,2022-04-05 23:12:30,(215) 523-7643,9714,20672-56462,7,97.14
157,2020-12-30 12:53:46,(685) 473-7364,8592,55365,5,85.92
158,2021-10-03 16:20:53,1-621-761-2538,2950,53189,5,29.5
159,2020-12-04 16:11:20,(214) 951-4850,2424,962932,1,24.24
160,2022-07-06 11:39:45,(574) 425-1584,4756,33624,3,47.56
161,2021-12-05 15:09:45,(663) 477-2367,4228,488512,7,42.28
162,2021-04-26 16:59:41,1-781-567-8223,3663,5478,3,36.63
163,2021-03-17 21:24:35,1-514-478-2687,9126,V4Y 2X8,4,91.26
164,2021-08-29 2:22:04,1-196-337-7655,6954,81618,2,69.54
165,2021-01-21 11:03:20,(206) 197-4523,8236,12-892,11,82.36
166,2022-01-25 11:26:06,(632) 974-2634,8268,944346,7,82.68
167,2022-03-11 19:29:57,(366) 655-9845,5901,35342,13,59.01
168,2022-04-16 10:34:48,1-607-510-1549,8728,44H 6B4,3,87.28
169,2022-02-28 7:07:46,1-956-542-5336,3550,415879,14,35.5
170,2022-07-23 20:55:01,(712) 823-7525,5129,H1E 4B4,11,51.29
171,2020-11-29 17:23:40,(288) 511-3261,6310,396171,13,63.1
172,2022-04-23 17:55:40,(686) 910-6839,4782,5644,7,47.82
173,2021-08-04 8:20:17,(357) 573-5623,2805,68678,5,28.05
174,2021-02-16 4:43:24,1-774-762-2761,7834,50118,14,78.34
175,2021-03-05 13:40:48,(532) 214-5781,8820,34577,5,88.2
176,2022-11-08 10:49:53,(652) 417-3672,1321,22498,4,13.21
177,2021-06-27 22:58:35,(884) 587-4799,2581,161136,7,25.81
178,2022-01-20 21:17:00,1-502-712-4325,9240,49873,9,92.4
179,2021-05-24 9:37:30,1-238-177-2671,3328,H14 5PK,14,33.28
180,2020-12-22 2:19:08,(540) 156-3306,9583,907621,7,95.83
181,2021-07-23 21:09:58,(554) 277-6282,9748,9174,4,97.48
182,2021-02-27 1:47:20,(582) 347-8634,1913,4207,9,19.13
183,2022-01-03 23:49:59,(235) 868-3421,9514,438569,7,95.14
184,2022-03-29 15:10:44,1-856-702-0077,3168,54848-622,12,31.68
185,2021-12-12 15:44:56,1-506-425-8157,9530,1422,1,95.3
186,2020-12-29 6:14:18,(754) 577-7914,4371,FK4 5KX,6,43.71
187,2021-11-29 17:52:41,1-308-880-4543,2181,2488,10,21.81
188,2022-05-06 9:05:10,(423) 663-8313,7131,52773,8,71.31
189,2022-09-21 5:04:27,1-502-723-7955,6387,78878,2,63.87
190,2021-12-11 2:26:36,(828) 566-4233,6381,8646,3,63.81
191,2022-02-08 12:29:50,1-182-164-1796,7799,68352,9,77.99
192,2021-08-14 15:39:37,(913) 787-3498,2990,23466,5,29.9
193,2021-11-23 2:48:39,(723) 874-8782,9158,82454,10,91.58
194,2021-03-03 10:13:12,1-552-316-7617,4341,22268,2,43.41
195,2021-11-23 9:55:11,1-671-476-7452,738,21055,7,7.38
196,2022-01-19 5:43:57,(903) 621-3385,9291,81445,7,92.91
197,2022-11-03 12:24:00,(725) 243-8894,4012,58793-632,10,40.12
198,2022-10-23 10:43:10,(812) 816-1511,7277,66073,11,72.77
199,2021-10-13 14:44:26,(599) 638-6377,9087,91357-71930,3,90.87
200,2021-05-01 5:42:46,1-401-416-6389,1331,TK5I 2PW,11,13.31
201,2021-08-27 12:20:20,(805) 675-6677,3821,9627,10,38.21
202,2022-06-17 20:14:22,1-289-673-5914,9318,72262,8,93.18
203,2022-09-12 6:38:23,1-223-277-2954,2789,663555,6,27.89
204,2022-01-26 13:29:51,1-845-461-4282,2708,7050,7,27.08
205,2021-06-10 1:36:29,(581) 863-8115,3717,5793,8,37.17
206,2022-08-27 21:11:25,1-750-245-6746,9691,22753,2,96.91
207,2022-04-13 1:28:36,(725) 890-7645,3540,5864,10,35.4
208,2021-11-18 15:19:52,(546) 642-8945,802,441543,10,8.02
209,2022-01-18 22:25:10,1-648-356-5577,4514,520447,14,45.14
210,2021-04-03 20:31:01,1-745-828-0113,3305,42820,11,33.05
211,2022-05-02 23:59:16,1-227-386-2372,7407,94A 5X5,2,74.07
212,2022-07-27 0:03:58,1-525-741-5824,8305,229647,5,83.05
213,2022-06-03 7:54:12,1-527-312-6728,7666,99-705,6,76.66
214,2022-04-11 11:16:57,(772) 721-5842,6322,4760,11,63.22
215,2022-05-05 13:40:58,(368) 322-8476,1067,S0T 2E7,3,10.67
216,2020-11-23 12:26:11,(267) 950-3576,5261,8168 PK,6,52.61
217,2021-08-08 2:15:30,(587) 577-2454,5080,24138,9,50.8
218,2022-03-21 19:23:20,(283) 519-6585,948,35879,4,9.48
219,2020-11-30 19:14:43,1-685-877-3291,5204,37642,7,52.04
220,2021-10-29 3:48:28,(892) 878-7258,4838,786525,7,48.38
221,2021-09-19 5:25:20,(200) 516-2439,5215,63805,4,52.15
222,2022-04-05 16:17:30,1-273-768-2807,546,68712,3,5.46
223,2022-07-19 1:00:11,(842) 574-5251,467,364056,9,4.67
224,2021-07-11 10:48:55,1-650-724-9897,2557,9964,11,25.57
225,2022-10-29 1:39:14,1-885-615-2053,2527,99898,9,25.27
226,2022-06-08 20:06:28,(716) 536-1776,4962,15224,8,49.62
227,2022-06-30 6:09:47,1-517-528-7570,4826,847346,14,48.26
228,2021-10-10 22:30:18,(312) 257-1919,2155,586464,1,21.55
229,2022-05-29 7:19:37,(614) 642-5555,4386,8975,1,43.86
230,2021-09-24 18:18:13,1-546-133-7873,9368,478934,11,93.68
231,2021-02-21 23:46:57,1-865-464-8515,9359,629786,2,93.59
232,2021-08-16 22:08:08,(589) 864-3626,6981,5960,1,69.81
233,2021-04-27 10:52:30,1-256-167-2273,352,27165-32790,4,3.52
234,2021-10-31 11:46:23,(745) 752-1481,9648,391029,5,96.48
235,2022-02-09 11:07:12,(310) 785-5575,5904,2274,7,59.04
236,2020-12-02 6:10:04,(534) 868-4311,5088,285867,12,50.88
237,2022-09-03 5:35:47,(685) 981-8384,436,53133,6,4.36
238,2022-05-13 9:26:02,1-546-717-5609,4064,3841,12,40.64
239,2022-05-28 19:38:53,(739) 433-7574,8990,5315,3,89.9
240,2021-01-18 16:38:09,1-863-502-5468,9071,3800,4,90.71
241,2022-05-28 22:01:56,(847) 235-8288,1888,4160,11,18.88
242,2021-04-02 9:59:41,(778) 446-4465,3416,66371,14,34.16
243,2021-02-25 0:00:11,1-172-613-8655,6720,25347,15,67.2
244,2022-04-29 3:08:41,(873) 962-8100,9151,4721,10,91.51
245,2021-07-23 1:35:00,(789) 326-3897,9369,18185-533,14,93.69
246,2021-09-27 9:28:00,1-635-334-1565,9386,11610,2,93.86
247,2021-08-02 21:52:41,(744) 444-2247,2698,26321,11,26.98
248,2022-10-12 17:54:05,1-731-947-4561,5385,5758,4,53.85
249,2021-09-11 16:29:35,1-513-234-2658,3379,767809,6,33.79
250,2022-03-15 5:32:21,1-618-138-6813,7555,65444,7,75.55
251,2021-05-30 16:55:47,1-577-433-3563,1074,4486,10,10.74
252,2021-05-19 3:10:42,1-349-862-2745,8477,4755 CJ,11,84.77
253,2022-07-11 10:04:08,(404) 282-6560,9894,4421 SG,8,98.94
254,2021-07-21 16:38:33,(231) 571-7826,7880,52772,12,78.8
255,2021-12-24 1:09:33,1-378-851-1554,3917,56394,4,39.17
256,2021-03-25 15:41:17,(233) 617-1953,8590,62408-576,9,85.9
257,2021-08-23 2:58:57,(941) 341-1223,9518,61543,8,95.18
258,2022-07-21 2:24:28,1-401-352-7777,7616,777368,8,76.16
259,2021-08-18 6:26:26,1-374-557-8735,877,62-845,9,8.77
260,2021-06-23 1:01:06,1-304-701-8808,4121,0218 NI,5,41.21
261,2021-12-26 3:55:51,1-750-464-5927,5778,92672,13,57.78
262,2022-03-11 9:44:54,(343) 763-1976,6722,21114,9,67.22
263,2021-06-07 16:11:09,1-829-745-5334,1225,60969,13,12.25
264,2021-11-13 11:17:38,(636) 212-5443,615,N5 6HK,14,6.15
265,2021-11-14 13:28:01,(836) 711-3825,2931,15919,11,29.31
266,2021-06-04 11:34:03,(314) 865-2601,4828,41615,2,48.28
267,2022-09-12 7:41:21,(182) 353-8998,4531,98-253,13,45.31
268,2022-09-05 15:57:15,1-436-722-5615,7337,28957,4,73.37
269,2022-04-26 21:31:24,1-623-915-8515,1302,4752,14,13.02
270,2021-11-04 20:27:04,1-855-742-2207,9161,12062,6,91.61
271,2021-01-23 21:16:22,1-208-231-4900,6387,155298,2,63.87
272,2021-02-02 16:54:44,(486) 471-6321,5322,6530,4,53.22
273,2021-09-26 18:59:42,1-953-408-8743,7609,34476,13,76.09
274,2021-12-29 7:03:46,1-915-525-6659,6307,21532,7,63.07
275,2020-12-24 3:08:50,(457) 556-9367,2417,385699,8,24.17
276,2022-07-21 4:35:34,(176) 667-0087,3900,65025,9,39
277,2021-12-04 4:22:41,1-718-866-6857,7205,69128,4,72.05
278,2022-10-08 23:09:44,(355) 764-5843,924,18824,12,9.24
279,2020-12-23 3:32:07,1-320-796-0285,697,28520,10,6.97
280,2022-01-09 6:33:55,1-532-620-0602,6895,88-163,14,68.95
281,2022-06-30 14:17:17,(314) 153-2856,1537,74222-94844,10,15.37
282,2021-08-30 16:47:03,1-688-394-3481,6788,459252,13,67.88
283,2021-06-16 15:45:38,(307) 706-5860,5904,59723,5,59.04
284,2021-08-11 3:46:42,1-757-266-3742,7721,B0J 3DQ,13,77.21
285,2021-03-25 10:10:52,(656) 338-5289,2903,7847 DC,6,29.03
286,2020-11-19 15:42:20,1-528-606-8022,6230,252258,8,62.3
287,2021-09-19 1:01:57,1-251-582-8434,4982,A5M 4W2,7,49.82
288,2021-06-01 3:56:21,1-237-724-3854,3923,463583,2,39.23
289,2021-02-15 0:29:42,1-694-674-4632,4571,16675,11,45.71
290,2022-05-30 22:11:57,(736) 116-6814,4898,7922,2,48.98
291,2021-04-01 9:10:35,(903) 361-2026,3476,5249,7,34.76
292,2021-07-13 19:36:30,1-407-368-3995,4320,636273,7,43.2
293,2021-11-07 8:48:22,(459) 550-3166,7810,7851,6,78.1
294,2022-09-19 12:50:32,(275) 542-4661,6684,87871,11,66.84
295,2021-05-23 18:16:36,1-282-441-6218,3703,79122,5,37.03
296,2021-01-08 7:02:33,(275) 333-2525,5667,11892,8,56.67
297,2022-07-06 20:20:47,1-569-857-4234,2805,477583,12,28.05
298,2021-01-15 18:50:52,1-727-746-6784,6006,43860-667,7,60.06
299,2022-04-21 1:49:19,1-596-764-3352,8771,30408,9,87.71
300,2022-03-19 12:07:34,(341) 858-7524,6057,36824,6,60.57
301,2022-04-12 21:46:22,1-311-882-2713,9199,82259,14,91.99
302,2022-04-19 8:30:40,(311) 571-5281,9765,7411,8,97.65
303,2022-04-15 13:10:22,(323) 758-5648,3587,6794,10,35.87
304,2022-03-28 2:10:08,1-516-826-7541,4776,72115,12,47.76
305,2021-11-17 12:56:00,(425) 679-0838,2903,13467,13,29.03
306,2020-11-28 10:39:24,(648) 886-9518,7445,62254,8,74.45
307,2021-01-23 1:25:07,1-511-364-9610,7921,15874,8,79.21
308,2021-04-13 22:09:20,(586) 846-2731,4218,623184,6,42.18
309,2021-03-16 4:26:08,1-318-644-9113,3357,58209,8,33.57
310,2022-06-27 3:10:17,(194) 658-7844,2986,N5 2CD,14,29.86
311,2021-03-10 11:21:51,(263) 184-2513,2222,315458,6,22.22
312,2022-03-12 19:36:28,1-212-650-8622,8895,84L 1S4,15,88.95
313,2022-10-25 21:41:14,1-326-728-7163,5054,3747,3,50.54
314,2021-05-10 12:51:16,(566) 567-2834,9399,65505,2,93.99
315,2021-04-01 13:14:05,1-878-956-5694,8046,41208,12,80.46
316,2022-04-12 3:39:47,(281) 879-7582,3218,23987,13,32.18
317,2022-09-15 7:40:05,(627) 984-5406,4832,11647,2,48.32
318,2022-11-06 21:01:41,(761) 821-8587,3023,B8K 2A7,7,30.23
319,2021-03-23 3:04:52,(316) 711-8338,7309,15969,10,73.09
320,2022-10-19 15:00:45,(623) 613-4766,2019,137086,14,20.19
321,2022-09-07 14:12:21,(587) 963-4181,3106,77-533,10,31.06
322,2022-07-18 15:58:00,1-158-284-3375,8157,35777,12,81.57
323,2022-03-18 5:01:51,(386) 220-0823,8586,7852,5,85.86
324,2021-01-22 14:48:30,1-690-438-8963,7668,RC5 8EO,3,76.68
325,2021-02-21 12:51:42,1-514-368-0389,2086,X5J 3B4,2,20.86
326,2021-10-09 4:11:19,(647) 401-7424,4031,39243,13,40.31
327,2022-08-18 19:00:18,1-671-277-2568,5205,432516,5,52.05
328,2022-05-21 7:56:34,(187) 321-8061,7512,98097,7,75.12
329,2022-08-03 3:38:14,(616) 418-6476,8148,1173,8,81.48
330,2021-11-21 16:13:45,(247) 436-9617,9789,469457,11,97.89
331,2022-03-29 4:22:51,(801) 361-7799,8448,757252,6,84.48
332,2022-08-25 14:22:17,(608) 285-8689,9099,82844,10,90.99
333,2021-11-01 0:34:57,(185) 456-6864,1046,2971,2,10.46
334,2021-03-30 5:40:59,1-413-650-2524,2210,24033,11,22.1
335,2021-02-14 20:13:29,(514) 859-1579,5200,58824-413,9,52
336,2022-07-19 19:57:30,(482) 963-3537,8979,17880-50458,3,89.79
337,2021-12-10 9:30:39,1-824-235-2012,2793,3168,7,27.93
338,2022-03-18 8:32:48,(181) 310-0418,4840,9766,1,48.4
339,2022-02-05 21:17:50,1-696-733-4948,5390,820511,11,53.9
340,2022-09-06 21:22:13,(901) 164-9692,5298,675266,11,52.98
341,2022-07-08 21:30:55,(877) 630-2367,1109,3722 LT,14,11.09
342,2022-06-02 1:16:24,(177) 652-4273,9638,1637,6,96.38
343,2022-09-18 20:13:42,1-718-275-1362,7427,635042,3,74.27
344,2021-03-08 12:58:11,(731) 652-9154,1419,7137,12,14.19
345,2020-12-06 13:45:04,1-627-241-4040,8917,4277 PA,5,89.17
346,2022-10-26 22:56:18,1-808-960-3416,8814,50591,10,88.14
347,2020-11-21 7:22:58,(547) 920-6319,329,30205,4,3.29
348,2021-10-03 19:18:55,1-425-845-5613,2588,92557,12,25.88
349,2021-09-20 21:25:13,(262) 301-2753,4240,19246,13,42.4
350,2022-05-02 11:17:48,1-530-536-1572,9286,3252,15,92.86
351,2022-01-25 8:34:28,1-535-221-4008,2724,35367,3,27.24
352,2022-02-21 1:25:43,(658) 776-8376,9319,16898,9,93.19
353,2021-09-10 17:39:44,(336) 633-3465,4468,822945,7,44.68
354,2020-12-27 9:08:07,1-758-305-2931,7413,762637,4,74.13
355,2022-01-22 19:29:46,1-355-775-4375,4993,24855,6,49.93
356,2022-07-15 19:06:03,(687) 262-6722,1929,36274,3,19.29
357,2021-05-22 9:14:34,1-423-817-6660,6502,252815,11,65.02
358,2021-08-25 20:31:21,(172) 675-7761,6536,9563 JV,14,65.36
359,2022-08-15 5:34:25,(515) 872-4681,1459,4574,13,14.59
360,2022-04-26 6:47:52,1-377-757-4374,9167,8282,14,91.67
361,2022-01-21 20:48:07,(764) 514-6422,1715,8275,11,17.15
362,2021-07-26 2:28:37,(621) 412-2912,6646,14879,12,66.46
363,2022-02-24 6:29:15,(906) 824-7443,6705,811547,4,67.05
364,2020-11-24 13:58:30,(214) 226-7431,1240,5120,1,12.4
365,2022-08-09 2:46:52,(333) 324-2647,7737,3357,4,77.37
366,2021-01-22 8:54:10,1-621-661-7348,5168,30297,2,51.68
367,2022-03-22 3:37:53,1-601-761-2235,7432,51416,10,74.32
368,2022-10-27 13:12:22,(153) 385-7178,7782,58737,4,77.82
369,2021-01-01 10:04:10,(226) 527-9413,8795,4608,10,87.95
370,2021-10-10 21:18:24,1-647-396-2647,4412,77713,4,44.12
371,2022-06-09 22:37:21,(406) 762-1648,8832,86071,5,88.32
372,2021-03-15 8:38:37,(560) 188-1664,2891,1539,4,28.91
373,2021-12-17 4:04:07,1-454-899-8150,4254,4377,8,42.54
374,2021-09-08 7:27:11,1-803-883-1186,5816,19733,13,58.16
375,2022-05-06 11:51:44,1-369-215-5257,2805,1714,7,28.05
376,2022-07-10 16:13:22,(330) 476-8861,2387,76576,7,23.87
377,2021-11-06 9:47:09,(393) 397-9352,699,792408,12,6.99
378,2020-12-29 23:48:29,1-937-316-9870,5321,881675,5,53.21
379,2021-08-31 16:01:08,(773) 502-3707,4399,518757,12,43.99
380,2022-03-05 3:13:09,(573) 634-0741,7839,65021-121,12,78.39
